Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0039062500,0,0.0094948498,0.0076487127,0.0076477083,0.0087023568,-0.0031649501,0.0068572241,-0.0005273244,0.0084391969,0.0071203840,0.0216253166,0.0100211697,0.0152964211,0.0055384113,0.0026376256,,,
0.0078125000,0,0.0667290165,0.0520620793,0.0517929484,0.0654460225,-0.0225068353,0.0534226820,-0.0036620895,0.0696842012,0.0631621116,0.1551916228,0.0674843491,0.1104480879,0.0352974499,0.0130431744,,,
0.0117187500,0,0.2125523484,0.1611269286,0.1592830477,0.2303370446,-0.0747038977,0.1938162560,-0.0109133498,0.2711040252,0.2585592557,0.5066341141,0.2009309341,0.3685690121,0.0954173254,0.0163802065,,,
0.0156250000,1,0.4001366694,0.3045532605,0.2976293915,0.5073370818,-0.1574898139,0.4304271592,-0.0166919913,0.6570311280,0.6403730258,0.9778443136,0.3377762021,0.7557728045,0.1304028175,-0.0403281503,,,
0.0195312500,1,0.4697930629,0.4140444313,0.3927134842,0.7854161526,-0.2472277476,0.6275360448,-0.0088512448,1.0852046019,1.0346502923,1.1561119922,0.3203821474,1.0592922870,0.0562621659,-0.1849958625,,,
0.0234375000,1,0.2879846557,0.5071556732,0.4492062087,0.8996348818,-0.3292542995,0.5350230941,0.0137158867,1.1984033332,1.0241392481,0.5891390298,0.1100323055,1.0519646982,-0.0991017755,-0.3008374535,,,
0.0273437500,1,-0.0763854327,0.7337222025,0.6089161363,0.7576563837,-0.4057497878,-0.0451679502,0.0247719779,0.6302465870,0.2769340848,-0.7608857485,-0.0459432664,0.7232995593,-0.1193479529,-0.1166402221,,,
0.0312500000,2,-0.3499861583,1.1911556933,1.0059286344,0.3860886886,-0.4387317657,-1.0621367411,-0.0122647538,-0.6629525767,-0.9775512557,-2.3568329103,0.2374067633,0.2982496749,0.2514756788,0.5912551987,,,
0.0351562500,2,-0.2759189305,1.6350794491,1.5120810018,-0.1494312811,-0.2855768880,-2.1432606674,-0.0998543226,-2.2293038442,-1.8511739565,-3.4039923488,1.0554420672,-0.0073986413,1.0153505092,1.7057158275,,,
0.0390625000,2,0.1083612472,1.4138885085,1.6294248339,-0.8437420618,0.2534802119,-2.7168494454,-0.1871703485,-3.3246854247,-1.4041535574,-3.3653904851,1.8853649892,-0.2630770811,1.7508610703,2.6407534367,,,
0.0429687500,2,0.3810293738,-0.1655483575,0.7061523786,-1.7362091256,1.2355049412,-2.2826790457,-0.2113309609,-3.4050920224,0.3790498315,-2.2426499518,1.7472498375,-0.8444729396,1.7712305572,2.5577283497,,,
0.0468750000,3,-0.0156913235,-3.1968157624,-1.5822767655,-2.7654913634,2.3682941888,-0.7097203635,-0.1572643745,-2.5073291793,2.1661374281,-0.4596974754,-0.1115389864,-2.1158071560,0.5689879611,0.8820024208,,,
0.0507812500,3,-1.2941506546,-6.7350811679,-4.7802469793,-3.6303664463,3.0315275563,1.5930270557,-0.0642407770,-1.1600363947,2.0639598594,1.4530475324,-3.4545560968,-3.9883008008,-1.7308437282,-2.1717461617,,,
0.0546875000,3,-2.9897466300,-9.0232217126,-7.6205255805,-3.8229908442,2.5851957980,3.7751310602,0.0229959898,0.0689811015,-0.9199766671,3.1048057807,-6.8610242389,-5.7350319903,-4.2612522646,-5.4776905208,,,
0.0585937500,3,-4.0932811820,-8.3699103766,-8.5521288378,-2.8708319459,0.7804254954,4.9136156097,0.1061496115,0.9893103917,-5.9184280335,4.3024850471,-8.3607003030,-6.2694661756,-5.7837014712,-7.4593311413,,,
0.0625000000,4,-3.5760744012,-4.1387367796,-6.5233194459,-0.6598596072,-1.9641110746,4.4534193706,0.2557330782,1.9132278506,-10.3065300292,4.9347668510,-6.5282323300,-4.7267533943,-5.3193030548,-6.8731785606,,,
0.0664062500,4,-1.0141270058,2.7341061146,-1.5948130740,2.3525177112,-4.5958285037,2.4755353028,0.5755551780,3.3825163928,-10.8282728324,4.8210241261,-1.3923608880,-1.0082482115,-2.6797982676,-3.4841610145,,,
0.0703125000,4,2.9928480192,9.9527436110,4.8801568790,5.1972791554,-5.8467258217,-0.3390515030,1.0897577424,5.5551306569,-5.4339260332,3.7223132713,5.3453129951,3.9921151008,1.3587113044,1.6866017781,,,
0.0742187500,4,6.8826885789,14.7344032893,10.6301687997,6.7735724791,-4.8962070155,-3.0258563464,1.6150487272,7.6765557399,5.0488833049,1.5582230208,10.9578428924,8.6225687537,5.3227367994,6.6927165249,,,
0.0781250000,5,8.7667470773,14.9969063114,13.3420172229,6.3912680991,-1.9102318137,-4.7591616891,1.7564124057,8.2000516715,16.6057291165,-1.3595989557,12.9417889585,11.1120275620,7.6400627553,9.4884437318,,,
0.0820312500,5,7.3888974551,10.3371275523,11.7214228494,4.1573132353,1.9197356589,-5.1456945768,1.1135820629,5.6908362273,23.6632726265,-4.3208376941,10.2410760676,10.3424052752,7.3042098051,8.8877535903,,,
0.0859375000,5,2.8913031082,2.3161584774,6.2188465107,0.9421903958,4.9282510159,-4.2574539005,-0.3955449039,-0.0317708198,21.9605367787,-6.4930698486,3.7984643890,6.3921277750,4.3148377195,5.1599951043,,,
0.0898437500,5,-3.0871023986,-6.1377667999,-1.0342691924,-2.0665881890,5.8121984660,-2.4626334173,-2.3462725053,-7.3672685014,11.0103650567,-7.2882384035,-3.8523012086,0.5802514520,-0.2769234726,-0.0814999354,,,
0.0937500000,6,-8.1016738500,-11.9670367152,-7.1502447474,-3.9414800978,4.2494249145,-0.2301056244,-3.9522186747,-13.5009927172,-5.3533122450,-6.5567957016,-9.7264567322,-5.0303729630,-4.7220717730,-4.6572987969,,,
0.0976562500,6,-10.0553422912,-13.2862617374,-9.8366369258,-4.3760972028,0.9641688849,1.9681191093,-4.4832128233,-15.7813363920,-20.6684600446,-4.5212927367,-11.6805299569,-8.4621849849,-7.2076646609,-6.8475215762,,,
0.1015625000,6,-8.2061569161,-10.1270765932,-8.4494243240,-3.6599317511,-2.7015257344,3.6764972701,-3.6651020247,-13.0681110624,-28.7751022645,-1.5955510767,-9.2572734355,-8.6233759583,-6.5772873102,-6.1182834748,,,
0.1054687500,6,-3.4821385591,-4.2832088308,-4.1743461186,-2.3616406712,-5.3594600984,4.5043673360,-1.7933202476,-6.2597343050,-26.4214089939,1.7119233223,-3.7468166191,-5.7288793082,-2.8826029124,-3.2024825515,,,
0.1093750000,7,2.0518498646,1.6351245222,0.7216455954,-0.9812012362,-5.9769482561,4.2605515641,0.4748841232,2.2284633034,-14.4247069235,4.7803028391,2.4956926096,-1.1562483137,2.5039403949,0.4211933935,,,
0.1132812500,7,6.2391869629,5.4335786276,4.0893295866,0.2085020325,-4.0709930243,3.0981213931,2.4709901937,9.6193944221,2.8280236812,6.8964024238,7.1123536327,3.1894177668,7.3609979199,3.2862986529,,,
0.1171875000,7,7.7891008814,6.2244908543,4.8613675417,1.1038216382,0.1413732426,1.5123316876,3.7852802549,13.8659786207,19.0793141042,7.4486704503,8.6786710150,5.6930815857,9.5426688631,4.5124470090,,,
0.1210937500,7,6.6746061885,4.5741315431,3.3240964856,1.6435065106,5.5649416370,0.1045437265,4.3308816459,14.1903170746,28.4323891014,6.2368567709,7.1158933654,5.6488839061,7.9433454105,3.9810076956,,,
0.1250000000,8,3.8831572553,1.9408368653,0.6936582894,1.7656822484,10.2326601790,-0.7844195765,4.2191627342,11.0292500866,27.4641539935,3.6710786882,3.4850562799,3.4278590731,3.0220834952,2.1778929773,,,
0.1289062500,8,0.7818667703,-0.1981404309,-1.6463407606,1.4623887716,11.8357030375,-1.3002814359,3.5757752686,5.6511720469,16.5610509000,0.6627297522,-0.6228886403,0.1776558238,-3.3790203830,-0.1012693485,,,
0.1328125000,8,-1.5242011652,-1.0467591940,-2.8065844200,0.8314240989,8.8227380869,-1.9203858723,2.4494632520,-0.2973548867,-0.1143591164,-1.7867937481,-3.7609488384,-2.7558253520,-8.8264409509,-2.0449147519,,,
0.1367187500,8,-2.5626904880,-0.7121226592,-2.6693589138,0.0495822872,1.5375404388,-2.9629314644,0.8762640262,-5.2242373289,-16.2109123791,-3.0735663494,-5.1067662345,-4.4026063161,-11.3176437777,-3.0750737052,,,
0.1406250000,9,-2.5044836819,0.0712438489,-1.7327079717,-0.7065993746,-7.4766857564,-4.1419151272,-0.9746451614,-7.9983383641,-25.7943569935,-3.2512266871,-4.6527779029,-4.4927059471,-10.0800118356,-3.0242930811,,,
0.1445312500,9,-1.9046986776,0.4941163029,-0.6828697310,-1.3127366611,-14.5205988804,-4.6152422146,-2.7235112108,-8.2656068336,-25.8344280556,-2.8865021221,-3.0974225684,-3.4187352181,-5.8156502905,-2.1725676540,,,
0.1484375000,9,-1.3692470527,0.1638100830,0.0104866592,-1.6824009007,-16.6710310774,-3.6185631039,-3.8836636917,-6.5380106073,-17.3925634386,-2.5986918826,-1.4444849319,-1.9013541595,-0.3078578625,-1.0830874573,,,
0.1523437500,9,-1.3039911424,-0.7452076301,0.2321708818,-1.7309899098,-13.3205957526,-1.1954313820,-4.1125992304,-3.9572411020,-4.8998195869,-2.6201626060,-0.4449331593,-0.5744834542,4.4105409065,-0.2896838175,,,
0.1562500000,10,-1.7887876070,-1.7220352030,0.0911741946,-1.3886670892,-6.2501668860,1.6755826070,-3.4235736539,-1.7851492747,6.1564382425,-2.7161699881,-0.2163384552,0.2631232338,6.9171183686,-0.0251803452,,,
0.1601562500,10,-2.5750112857,-2.3096479572,-0.2703922687,-0.6683356858,1.6767332416,3.7232271733,-2.1771037206,-0.8287412615,11.9674478583,-2.4825877642,-0.3022584069,0.6362683586,6.8805881636,-0.1646450450,,,
0.1640625000,10,-3.2045419671,-2.3524537135,-0.7296381532,0.2799439527,8.0968752483,4.2422660850,-0.8516199643,-1.0574537995,12.1088637494,-1.7089973973,-0.0884054352,0.7362510527,4.9897129149,-0.3847274948,,,
0.1679687500,10,-3.2064149814,-1.9525556411,-1.0795422217,1.1942694050,11.9208589469,3.4665950135,0.2245184770,-1.6065506729,9.2825406262,-0.4878607857,0.7513773034,0.7981419275,2.4579495536,-0.3858004099,,,
0.1718750000,11,-2.2912862010,-1.2375881604,-0.9476584898,1.8036724800,13.0688034049,2.2233332067,0.9757376719,-1.2263289716,7.2457285853,0.9633163863,2.0632482185,1.0702436968,0.4069901837,-0.0203947805,,,
0.1757812500,11,-0.4808991283,-0.1879501244,0.0624465225,1.9434533135,11.7875757544,1.2389938209,1.4679806262,0.9636527050,8.1709638619,2.5100989318,3.3347264881,1.7720560275,-0.5767325476,0.7078431877,,,
0.1796875000,11,1.8561699408,1.2992312867,2.0148586004,1.6174085240,8.3080060498,0.6995558151,1.7220586242,4.7797468169,11.1194746132,4.0623740176,3.9838342817,2.9334042589,-0.5583714157,1.6963688192,,,
0.1835937500,11,4.0806164986,3.1522305186,4.3436120020,0.9883511403,3.0539208496,0.3609453396,1.6427003841,8.7912256263,12.7023175817,5.2952856569,3.6193920948,4.1887849373,-0.0657607995,2.7577417902,,,
0.1875000000,12,5.4797935624,4.9068630105,5.9399331683,0.3118303810,-2.9989613209,-0.0201815394,1.1346717239,10.8939887388,9.5753074899,5.4690060337,2.1674875616,4.7645220545,0.2550941972,3.5870318638,,,
0.1914062500,12,5.5481615383,5.7709128904,5.6954078967,-0.1710857180,-8.3377140019,-0.4170076269,0.2924485517,9.4290106922,1.0644988593,3.7243902779,-0.1138077746,3.8257427208,-0.0396696939,3.7643607464,,,
0.1953125000,12,4.2423873488,5.0164293190,3.2026502815,-0.3548665845,-11.4371023904,-0.6703679566,-0.5389985433,4.2242975954,-10.0083316271,-0.1565626424,-2.6591904094,1.0626037150,-1.0112079384,2.8882513987,,,
0.1992187500,12,2.0690176540,2.4781024576,-0.8565280557,-0.3371909212,-11.4549372576,-0.8211619746,-0.9333865317,-3.0947184402,-18.9925710487,-5.0791795716,-4.6548875255,-2.8665626758,-2.3197605404,0.8413847423,,,
0.2031250000,13,-0.0910458271,-1.1937315217,-4.9325067221,-0.3554550988,-8.6061137707,-1.2123913238,-0.6666139086,-9.7690121138,-22.3741778501,-8.7758953620,-5.2258544400,-6.4189911491,-3.3499266496,-1.9613532002,,,
0.2070312500,13,-1.3926900049,-4.7476400571,-7.3503609354,-0.5980616132,-3.9828726059,-2.1759915567,0.1226067250,-13.1953183645,-19.8089878786,-8.9804598817,-3.8213161767,-7.8674535594,-3.4700028847,-4.5737783060,,,
0.2109375000,13,-1.4895086661,-6.9237810186,-7.1616407082,-1.0262544652,0.9983695957,-3.5680152432,1.0278169696,-12.1292229458,-13.7459984477,-4.9978502758,-0.6709625810,-6.2878651632,-2.3866179778,-5.8918101642,,,
0.2148437500,13,-0.7746740393,-7.0716803975,-4.6276975148,-1.3709917602,5.1280309046,-4.6280370047,1.6336850251,-7.1863898695,-7.1455618343,1.4780574034,3.0249273934,-2.2381719324,-0.4386981529,-5.2585836333,,,
0.2187500000,14,-0.1920075752,-5.4219345825,-1.0637120037,-1.3333430888,7.6428860377,-4.3917751931,1.7248885140,-0.4611039375,-1.3267371356,7.0813278527,5.4778115780,2.3697776366,1.4206127754,-2.9326317141,,,
0.2226562500,14,-0.6558698678,-2.8676090772,1.8728795456,-0.8343939931,8.2070416675,-2.3988987351,1.3152828693,5.4687483377,4.2762477536,8.7439351815,5.2184513795,5.2402691847,2.0949699134,-0.0555504571,,,
0.2265625000,14,-2.4043187797,-0.4114444523,3.0562082589,-0.1028534423,6.8463302529,0.8405172145,0.5506458671,8.6485402254,10.4628012500,5.6667216749,2.0388092366,4.9835357038,1.0776712580,1.9619227383,,,
0.2304687500,14,-4.7111428577,1.3764828287,2.4428753173,0.4884730023,3.9666260742,3.9985055792,-0.3730093319,8.4854196187,16.4483617239,-0.0776555277,-2.6777835918,1.9406220876,-1.0451883020,2.3088296426,,,
0.2343750000,15,-6.1932798422,2.5632759856,0.9949380767,0.7169892727,0.3790446551,5.6453188345,-1.2148023592,5.8349884889,19.7136650584,-4.8054931044,-6.5676645691,-1.9958289956,-2.7752909447,1.3184247866,,,
0.2382812500,15,-5.5867672587,3.6049640308,0.0257462231,0.6863106842,-2.8428398612,5.0951176882,-1.6930369041,2.4310070249,17.8047211796,-5.5654085580,-7.5623598200,-4.4862846822,-2.5879317779,0.2475472773,,,
0.2421875000,15,-2.5553615421,4.8249632665,0.3588345318,0.7101635573,-4.7317630605,2.8493569375,-1.5837471114,-0.0581075243,10.5912499038,-2.0081335666,-5.0723247233,-4.1057678056,0.0026173900,0.3670848120,,,
0.2460937500,15,1.9693374353,5.9950964479,1.8167818290,0.9838421186,-4.8548754305,0.3363528014,-0.8870025006,-0.8641616854,1.0302814442,3.4695935449,-0.3197289450,-1.1217115144,3.9562601489,1.9875611146,,,
0.2500000000,16,6.1730626625,6.3518318253,3.3705281418,1.3443675100,-3.5146448781,-0.9197728594,0.0874583721,-0.3952734310,-6.3455103019,7.3687223191,4.4194933459,2.7766910079,7.2291368304,4.1598611252,,,
0.2539062500,16,8.2846286073,5.0924451104,3.8547338922,1.3708367977,-1.5528636709,-0.1955661041,0.8366337040,0.1855096470,-8.2255675653,7.3534666375,7.1730212003,5.5714257537,8.0204803856,5.3120213052,,,
0.2578125000,16,7.4953434199,2.0313834119,2.7544140105,0.7626423819,0.1309447274,2.0200803470,0.9414380385,-0.2169750785,-4.6561546565,3.5961160148,7.3075235845,6.0719793401,5.8845560234,4.3572720329,,,
0.2617187500,16,4.3152858392,-2.0702492309,0.5057207180,-0.3444558040,1.0242534261,4.3241970675,0.3178166854,-1.9508255170,0.9415230539,-1.6177641092,5.5596159414,4.3926290218,1.9112884328,1.4370020246,,,
0.2656250000,17,0.1847847696,-5.7916446333,-1.8797112951,-1.4196806632,1.1318991074,5.1796265039,-0.7388611021,-4.4821865687,3.8629851905,-5.5879960010,3.1599000874,1.5598737037,-2.1070397479,-2.2268921059,,,
0.2695312500,17,-3.3508702689,-7.8027943840,-3.5316787114,-1.9079331943,0.7718705532,3.6911528256,-1.7435912782,-6.7830903711,0.9860817378,-6.9160351748,0.8518153856,-1.2959541475,-4.8176724372,-5.1700677047,,,
0.2734375000,17,-5.3556960774,-7.5783646159,-4.1972961702,-1.6207941888,0.2579073435,-0.0248750809,-2.2992309852,-7.8752443810,-7.2905186438,-6.0830849518,-1.3735826308,-3.4938938755,-5.8773372824,-6.5135764332,,,
