Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,0.0070153438,0.0070282019,0.0070307737,0.0070279881,0.0069859848,0.0069954142,0.0069536256,0.0069422676,0.0069296241,0.0070117011,0.0070481323,0.0070269164,0.0070582040,0.0069997000,,,
0.0039062500,0,0.0617961537,0.0619079033,0.0619305539,0.0619068760,0.0615272842,0.0616184784,0.0612444198,0.0611516689,0.0610392381,0.0617739279,0.0620853703,0.0619027956,0.0621704354,0.0616527971,,,
0.0078125000,0,0.2743324764,0.2748204516,0.2749207754,0.2748245622,0.2730930160,0.2735385270,0.2718472418,0.2714763756,0.2709747834,0.2742803151,0.2756157509,0.2748292164,0.2759765623,0.2736668795,,,
0.0117187500,0,0.8378883415,0.8393535859,0.8396587317,0.8394079457,0.8339738333,0.8354650294,0.8301992126,0.8292121965,0.8276783372,0.8378653590,0.8417964646,0.8394816701,0.8428500669,0.8357578333,,,
0.0156250000,1,2.0179585820,2.0214416271,2.0221717755,2.0216991548,2.0082654536,2.0121659042,1.9992491935,1.9972483359,1.9935515873,2.0181841073,2.0273232452,2.0219869674,2.0297600504,2.0125914805,,,
0.0195312500,1,4.1346721616,4.1417825457,4.1432621105,4.1425803283,4.1143518617,4.1229375401,4.0960443973,4.0927096567,4.0851016643,4.1355695110,4.1537436918,4.1433350323,4.1585659900,4.1232288617,,,
0.0234375000,1,7.5470778827,7.5601897501,7.5628391652,7.5620729092,7.5092253046,7.5258870145,7.4761581389,7.4713744543,7.4573408228,7.5492334320,7.5817063908,7.5636871401,7.5902401004,7.5254948143,,,
0.0273437500,1,12.6392299844,12.6617625152,12.6660691095,12.6654093115,12.5745385630,12.6039344115,12.5198402252,12.5137864862,12.4899244646,12.6432661578,12.6970676713,12.6684969433,12.7109189083,12.6021635851,,,
0.0312500000,2,19.8079464959,19.8446850974,19.8511736209,19.8507405040,19.7043156324,19.7524500008,19.6197877178,19.6130045735,19.5750425309,19.8143073370,19.8986883786,19.8562945081,19.9196276972,19.7488053567,,,
0.0351562500,2,29.4520866708,29.5094495033,29.5186969458,29.5183314399,29.2942480205,29.3684409168,29.1704414883,29.1639087442,29.1069803585,29.4607273211,29.5877067046,29.5279562142,29.6175056574,29.3631213627,,,
0.0390625000,2,41.9631924213,42.0493512805,42.0620895723,42.0611197429,41.7324696225,41.8412023404,41.5587048904,41.5539285454,41.4731107337,41.9731957225,42.1581005312,42.0773048219,42.1983868161,41.8356123484,,,
0.0429687500,2,57.7173632478,57.8421935567,57.8595043522,57.8565523207,57.3916607418,57.5443410710,57.1559712205,57.1550300031,57.0460049390,57.7265746924,57.9884355555,57.8829332871,58.0406338866,57.5414656488,,,
0.0468750000,3,77.0682944461,77.2432044707,77.2667587110,77.2596439694,76.6223289222,76.8290565919,76.3113579673,76.3168486814,76.1764820318,77.0730904404,77.4347877411,77.3012004519,77.5001644813,76.8336049769,,,
0.0507812500,3,100.3414632878,100.5791783743,100.6114551324,100.5972059031,99.7471580285,100.0185492096,99.3460681509,99.3609421793,99.1876416042,100.3367004228,100.8248616282,100.6603747729,100.9046325412,100.0368872046,,,
0.0546875000,3,127.8294267316,128.1437836365,128.1882203299,128.1631746822,127.0563480655,127.4034460622,126.5488024339,126.5761344433,126.3699327882,127.8085528171,128.4532698724,128.2558781379,128.5487069754,127.4434031446,,,
0.0585937500,3,159.7881548424,160.1939320802,160.2549844122,160.2149555017,158.8038776015,159.2381637029,158.1721435191,158.2148934743,157.9772299867,159.7434371838,160.5778823876,160.3465526181,160.6903633680,159.3088012185,,,
0.0625000000,4,196.4343301381,196.9471134086,197.0302336633,196.9706807556,195.2046523347,195.7381287586,194.4298459079,194.4907086347,194.2239832473,196.3571054393,197.4171454262,197.1518758995,197.5481101594,195.8495585807,,,
0.0664062500,4,237.9435155985,238.5795775485,238.6911453987,238.6072682344,236.4325198979,237.0777816842,235.4949578855,235.5763877792,235.2834991186,237.8243400547,239.1482440989,238.8500361607,239.2990633593,237.2411053801,,,
0.0703125000,4,284.4490358126,285.2252088021,285.3724483395,285.2591688657,282.6190895887,283.3892955265,281.4986724566,281.6030755682,281.2871623621,284.2776924456,285.9059516115,285.5767428108,286.0777572410,283.6166639333,,,
0.0742187500,4,336.0414214522,336.9749553802,337.1658493091,337.0177324742,333.8532429850,334.7619362065,332.5297904218,332.6597755936,332.3242588047,335.8068529794,337.7820393188,337.4246486848,337.9755761478,335.0666730678,,,
0.0781250000,5,392.7683302844,393.8767415028,394.1199327710,393.9311539698,390.1812098037,391.2419934411,388.6347028530,388.7932646914,388.4421302593,392.4586091643,394.8251819046,394.4432894660,395.0407120946,391.6387219238,,,
0.0820312500,5,454.6349186290,455.9358448372,456.2405151702,456.0049606584,451.6071147456,452.8332324159,449.8178463975,450.0084067228,449.6465649569,454.2373211759,457.0413307070,456.6394806301,457.2785756244,453.3379645557,,,
0.0859375000,5,521.6046658012,523.1157435240,523.4914735091,523.2029769412,518.0939413444,519.4978341843,516.0426144587,516.2689156282,515.9024622388,521.1058326548,524.3945389257,523.9781410194,524.6526150739,520.1280000007,,,
0.0898437500,5,593.6006476507,595.3394227344,595.7960494950,595.4486890935,589.5648721767,591.1577865465,587.2326942801,587.4985791702,587.1348384775,592.9867597958,596.8082191159,596.3835289464,597.0855339363,591.9321864968,,,
0.0937500000,6,670.5072258260,672.4910980364,673.0385806771,672.6269441223,665.9049488564,667.6966616387,663.2737657089,663.5828948213,663.2302036628,669.7641422769,674.1668060114,673.7408764660,674.4609206215,668.6353362006,,,
0.0976562500,6,752.1720857624,754.4182838059,755.0665715190,754.5859402590,746.9629835407,748.9616979703,744.0154865434,744.3710420152,744.0383163452,751.2854531875,756.3177843837,755.8983914143,756.6252937109,750.0857278188,,,
0.1015625000,6,838.4085422299,840.9341239785,841.6930173196,841.1394845235,832.5536808637,834.7661116184,829.2737130282,829.6781304698,829.3743440946,837.3639331493,843.0740223497,842.6695731837,843.3905168494,836.0973837257,,,
0.1054687500,6,928.9980480469,931.8199146106,932.6989232848,932.0694934844,922.4599878487,924.8915900701,918.8329301504,919.2876940246,919.0214621778,927.7811664425,934.2163378126,933.8357713963,934.5364836635,926.4525733367,,,
