Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4171.5385742188,4160.3847656250,4166.5385742188,4230.0000000000,4180.1284179688,4167.9487304688,4163.7177734375,4173.2050781250,4163.4614257813,4172.9487304688,4165.0000000000,4163.4614257813,4165.5126953125,4155.2563476563,,,
0.0078125000,0,4165.5126953125,4150.3847656250,4158.0771484375,4218.0771484375,4168.5898437500,4156.2822265625,4168.2050781250,4172.3076171875,4153.8461914063,4161.9228515625,4157.6923828125,4156.6665039063,4152.9487304688,4149.2309570313,,,
0.0156250000,0,4157.5639648438,4151.7949218750,4153.3334960938,4217.4360351563,4167.5639648438,4167.0512695313,4161.2822265625,4167.5639648438,4151.5385742188,4162.5639648438,4155.8974609375,4144.6152343750,4149.8715820313,4139.8715820313,,,
0.0234375000,0,4167.3076171875,4156.7949218750,4153.4614257813,4221.7949218750,4168.3334960938,4151.5385742188,4170.6411132813,4169.2309570313,4153.8461914063,4163.3334960938,4158.0771484375,4149.3588867188,4158.8461914063,4141.5385742188,,,
0.0312500000,1,4175.7690429688,4163.8461914063,4161.1538085938,4228.3334960938,4175.5126953125,4135.6411132813,4169.6152343750,4165.1284179688,4169.7436523438,4175.5126953125,4172.8203125000,4161.2822265625,4173.8461914063,4159.2309570313,,,
0.0390625000,1,4172.5639648438,4157.1796875000,4160.7690429688,4225.1284179688,4172.9487304688,4155.7690429688,4165.5126953125,4171.0258789063,4158.7177734375,4167.8203125000,4171.9228515625,4157.8203125000,4162.0512695313,4150.0000000000,,,
0.0468750000,1,4169.7436523438,4161.0258789063,4164.7436523438,4230.6411132813,4180.0000000000,4191.0258789063,4159.7436523438,4173.9741210938,4157.9487304688,4168.9741210938,4177.8203125000,4157.4360351563,4166.6665039063,4151.1538085938,,,
0.0546875000,1,4175.8974609375,4161.9228515625,4162.8203125000,4231.5385742188,4184.8715820313,4190.0000000000,4168.5898437500,4171.0258789063,4167.6923828125,4177.6923828125,4174.4873046875,4162.1796875000,4173.7177734375,4156.7949218750,,,
0.0625000000,2,4172.6923828125,4166.1538085938,4164.1025390625,4233.5898437500,4190.1284179688,4190.6411132813,4164.6152343750,4169.3588867188,4163.5898437500,4174.6152343750,4173.7177734375,4161.5385742188,4173.7177734375,4150.1284179688,,,
0.0703125000,2,4165.0000000000,4152.4360351563,4155.6411132813,4220.8974609375,4180.8974609375,4197.1796875000,4166.6665039063,4172.5639648438,4151.1538085938,4163.4614257813,4168.9741210938,4156.6665039063,4166.5385742188,4141.9228515625,,,
0.0781250000,2,4168.5898437500,4144.2309570313,4153.3334960938,4215.8974609375,4181.5385742188,4205.2563476563,4167.4360351563,4171.6665039063,4160.7690429688,4171.2822265625,4167.4360351563,4160.1284179688,4166.6665039063,4152.6923828125,,,
0.0859375000,2,4174.2309570313,4152.0512695313,4160.3847656250,4227.6923828125,4188.4614257813,4208.5898437500,4166.1538085938,4173.4614257813,4171.2822265625,4176.6665039063,4173.2050781250,4165.2563476563,4174.1025390625,4160.2563476563,,,
0.0937500000,3,4175.8974609375,4151.0258789063,4163.2050781250,4236.6665039063,4184.8715820313,4205.6411132813,4167.1796875000,4172.1796875000,4170.3847656250,4175.5126953125,4171.7949218750,4162.5639648438,4178.5898437500,4157.5639648438,,,
0.1015625000,3,4177.6923828125,4152.9487304688,4166.1538085938,4238.5898437500,4182.5639648438,4208.2050781250,4162.3076171875,4168.3334960938,4168.8461914063,4178.0771484375,4171.2822265625,4164.6152343750,4178.3334960938,4152.6923828125,,,
0.1093750000,3,4176.6665039063,4160.8974609375,4165.5126953125,4231.6665039063,4180.6411132813,4207.1796875000,4167.1796875000,4174.4873046875,4162.9487304688,4168.9741210938,4172.8203125000,4167.8203125000,4174.3588867188,4151.9228515625,,,
0.1171875000,3,4169.3588867188,4165.0000000000,4169.4873046875,4234.6152343750,4185.6411132813,4207.1796875000,4165.1284179688,4173.9741210938,4165.3847656250,4167.3076171875,4170.8974609375,4167.0512695313,4170.8974609375,4159.8715820313,,,
0.1250000000,4,4169.7436523438,4160.1284179688,4169.8715820313,4237.5639648438,4180.6411132813,4200.6411132813,4164.4873046875,4172.3076171875,4152.9487304688,4155.7690429688,4158.3334960938,4167.6923828125,4156.0258789063,4154.7436523438,,,
0.1328125000,4,4168.4614257813,4163.9741210938,4168.8461914063,4236.7949218750,4177.0512695313,4193.3334960938,4164.3588867188,4168.9741210938,4152.5639648438,4153.5898437500,4163.8461914063,4172.0512695313,4158.4614257813,4156.5385742188,,,
0.1406250000,4,4169.7436523438,4153.2050781250,4162.3076171875,4227.0512695313,4173.7177734375,4183.5898437500,4171.6665039063,4170.8974609375,4152.9487304688,4153.0771484375,4152.9487304688,4164.2309570313,4151.2822265625,4153.0771484375,,,
0.1484375000,4,4168.0771484375,4152.1796875000,4164.8715820313,4229.8715820313,4180.1284179688,4183.8461914063,4163.5898437500,4170.6411132813,4152.3076171875,4153.5898437500,4144.4873046875,4157.1796875000,4147.9487304688,4150.3847656250,,,
0.1562500000,5,4167.1796875000,4148.4614257813,4157.9487304688,4219.6152343750,4168.9741210938,4168.3334960938,4168.0771484375,4171.5385742188,4144.8715820313,4146.2822265625,4142.4360351563,4159.3588867188,4143.9741210938,4141.9228515625,,,
0.1640625000,5,4166.1538085938,4154.4873046875,4160.1284179688,4221.4101562500,4172.9487304688,4170.0000000000,4161.6665039063,4165.1284179688,4156.0258789063,4162.1796875000,4152.9487304688,4163.4614257813,4152.1796875000,4146.9228515625,,,
0.1718750000,5,4170.7690429688,4159.8715820313,4165.3847656250,4226.2822265625,4176.9228515625,4174.2309570313,4164.7436523438,4168.3334960938,4164.1025390625,4168.8461914063,4150.1284179688,4166.6665039063,4157.8203125000,4152.6923828125,,,
0.1796875000,5,4169.4873046875,4161.2822265625,4164.8715820313,4221.7949218750,4174.2309570313,4171.5385742188,4163.5898437500,4171.6665039063,4172.3076171875,4169.3588867188,4144.7436523438,4166.7949218750,4159.7436523438,4153.8461914063,,,
0.1875000000,6,4167.3076171875,4149.1025390625,4158.7177734375,4209.1025390625,4164.7436523438,4158.2050781250,4161.4101562500,4173.0771484375,4167.3076171875,4165.5126953125,4141.0258789063,4161.2822265625,4148.4614257813,4143.8461914063,,,
0.1953125000,6,4169.2309570313,4149.4873046875,4158.3334960938,4211.7949218750,4166.2822265625,4157.5639648438,4158.9741210938,4171.9228515625,4167.8203125000,4169.3588867188,4151.2822265625,4161.1538085938,4156.2822265625,4147.3076171875,,,
0.2031250000,6,4172.5639648438,4160.3847656250,4162.4360351563,4219.6152343750,4171.0258789063,4168.4614257813,4164.2309570313,4170.0000000000,4177.5639648438,4177.8203125000,4160.5126953125,4169.1025390625,4173.5898437500,4156.4101562500,,,
0.2109375000,6,4178.4614257813,4166.1538085938,4171.2822265625,4225.2563476563,4175.1284179688,4174.8715820313,4166.7949218750,4168.3334960938,4179.7436523438,4181.1538085938,4170.5126953125,4174.7436523438,4179.2309570313,4162.6923828125,,,
