Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,-0.0000000044,,,
0.0039062500,0,2.0390671118,1.6425998178,1.6423841120,1.8688752212,-0.6796890220,1.4726236330,-0.1132455432,1.8123602968,1.5291385574,4.6441462795,2.1520969606,3.2849839183,1.1894018936,0.5664434903,,,
0.0078125000,0,-1.0388457104,-1.2003169020,-1.2564882663,-0.0315728626,0.2896231612,0.3730558647,0.0671234681,1.3045723864,2.0386727832,-1.6765455800,-1.7285840323,-1.0409121664,-1.3846773515,-1.4684165101,,,
0.0117187500,0,-2.5274420779,-1.4650054935,-1.4316783754,-1.6258626430,0.4420636465,-1.6354202758,0.2607308224,-1.3897727749,-1.8381538275,-6.1155142855,-2.9288133743,-3.2264219998,-1.7395003409,-0.9719852414,,,
0.0156250000,1,-0.7139314373,1.2847074559,1.1035550729,-0.9496323373,-0.3656979489,-2.4232372914,0.0612461493,-3.5594084661,-5.2757595445,-3.5765284436,0.4226940132,-1.0305421087,0.8507949676,1.7086025028,,,
0.0195312500,1,1.8459568380,3.3559133686,2.9483356848,0.5524843595,-0.8009878893,-1.5471217650,-0.4893589320,-3.1223537931,-3.4067620881,1.8726174638,4.1929396722,2.1568715333,3.3034190858,3.4622124783,,,
0.0234375000,1,2.6207586982,1.6247428715,1.7438200684,0.7972208991,0.1020314472,0.2857312759,-0.4858033730,-0.0991845731,3.3384003753,4.5020890668,4.1925223482,2.5663745635,2.5477336546,2.2571313761,,,
0.0273437500,1,1.0729232808,-3.0500249231,-1.7721799212,-0.6214396602,1.9454719307,1.7529389753,0.1786807486,3.2224907176,8.9149611157,2.6063541651,-0.2474070149,0.0515936703,-0.7254380476,-0.9601242099,,,
0.0312500000,2,-1.5426238003,-6.8822587981,-4.8386857609,-2.1475691721,2.9016680981,2.6096367244,0.7540744817,3.8644842446,6.9381390987,-0.5424083272,-5.7174701745,-3.2451821231,-3.7918634445,-4.2260590301,,,
0.0351562500,2,-3.9320104295,-6.6209753951,-5.5464132019,-2.1958122126,1.3876937151,2.7328009595,0.3338297071,0.9627011179,-3.0477404411,-1.6447753487,-8.2299064227,-4.7618158291,-4.7596430487,-5.7098199071,,,
0.0390625000,2,-4.4060152674,-1.8264894430,-3.4559779598,-0.4537276078,-2.0696681121,1.7864837822,-0.5278314554,-3.1532353741,-13.8851124542,0.2006449734,-5.2851049422,-3.2958001939,-3.1767021142,-4.2350751452,,,
0.0429687500,2,-1.4077898869,5.1470202102,0.8786423054,2.0693186458,-4.9246478147,-0.5328421317,-0.7649578652,-3.9094898258,-15.5998438836,2.3818165340,1.8752301889,0.5015544488,0.2818889292,-0.0990220477,,,
0.0468750000,3,5.5195777137,10.7315830253,8.0453721469,3.8555103729,-2.7635755391,-3.6181759773,0.7047350037,3.2999420691,5.1804894997,0.3962934976,9.4817159832,5.6600636079,5.0136185510,6.6214510126,,,
0.0507812500,3,3.9803290296,6.6813407278,5.4169713922,3.0548914312,-2.2460882101,-2.6303319064,0.0399786711,0.7417563770,1.7102026056,1.0490391049,7.6414303970,4.7263826015,4.0480659710,5.0213339389,,,
0.0546875000,3,4.9179232967,4.1072642362,5.3680427752,2.0742944799,0.4328789480,-2.1255167363,0.8628116586,4.2309577540,10.6342925979,-0.6700281694,6.2078003300,4.3951028925,3.6384451216,5.0128912619,,,
0.0585937500,3,3.7005972595,0.0834482679,3.5130472049,-0.5516310808,4.2076681139,-0.7896005883,1.4845462313,6.0489890822,18.4004481205,-3.3429847987,1.7958075432,2.6047404338,2.1269937685,3.0839684103,,,
0.0625000000,4,-0.8617384908,-5.1471661884,-1.3079358360,-3.4468685792,6.0004897602,0.8693623934,0.8080467079,1.6781599310,14.5172739787,-4.0870525388,-4.3827762798,-0.9633908853,-0.7605924374,-1.2544487974,,,
0.0664062500,4,-6.0457878899,-8.9021418105,-6.8028562438,-4.4700403110,4.1175171322,1.5378195280,-1.2697940178,-6.5879537512,-0.5892891765,-2.0996588623,-8.6824760560,-4.5166402712,-3.5303844058,-5.5695362788,,,
0.0703125000,4,-8.2400298715,-8.9549635027,-9.4087487531,-2.6767305876,-0.3948768621,1.0784295513,-3.2963031389,-11.9161650524,-17.0372993878,0.9629751754,-8.6697912157,-6.1478064300,-4.9124847112,-7.1354922388,,,
0.0742187500,4,-6.0093495344,-4.7490216624,-7.0230579190,0.4602161065,-4.2650082142,0.6697874529,-3.3658432945,-9.3896583296,-23.5683726054,2.6466821596,-4.7065213004,-5.2374999487,-4.4610765120,-4.7331997140,,,
0.0781250000,5,-0.8198440010,1.3481603253,-0.7136488351,2.2959949024,-5.1580666599,0.9563045866,-0.7422964709,-1.1456373713,-16.9818113371,1.9683610517,0.5795355045,-2.2413420691,-2.6078055100,-0.2841445688,,,
0.0820312500,5,4.4276258373,6.4875232666,5.5660746707,2.1025248618,-3.1836014193,1.7587477033,2.3462412716,6.8585248288,-3.2220860143,0.4240871133,4.8061441857,1.5540546191,0.3228671926,3.6295423230,,,
0.0859375000,5,7.2024005976,8.1323862673,8.3597076897,0.7470896824,-0.6729933721,1.5200818675,3.4187777346,10.0071305550,8.9277349627,0.1233366457,6.6919070995,4.7178702604,3.9659721237,4.9601135600,,,
0.0898437500,5,6.3668027890,6.1164273195,6.2532708393,-0.1550131113,0.4637289095,-0.0566781099,1.8252483957,7.6496522971,14.5878823453,1.5436105919,6.2483098246,5.8462924373,6.9195555267,3.8219062121,,,
0.0937500000,6,2.5925035243,1.8331347300,1.5860974363,-0.1876512161,0.4169738976,-2.0135689304,-0.1123345332,2.9842404283,14.8487530456,2.8797547696,3.7165428757,4.7781027799,7.0813495951,1.4387876731,,,
0.0976562500,6,-1.5984851531,-2.5021678151,-2.5413345818,0.7175087420,1.3754540325,-3.0008514574,-0.6524791213,-0.8330782779,12.7796017101,1.7888074275,0.0778936791,1.6718452859,3.5781738675,-0.3409530995,,,
0.1015625000,6,-3.5555656916,-4.7229411669,-3.9554704065,1.2346800337,4.3173171569,-2.0079494365,-0.2052564855,-2.1871903083,8.7184340553,-1.3810562918,-3.2386689999,-1.7490203957,-2.2173523961,-1.0353153359,,,
0.1054687500,6,-3.1208263236,-3.9983214121,-2.9201057347,0.6413871670,7.3220780094,0.4454570260,0.2925322030,-2.1462037147,0.8838770224,-4.0514500429,-4.5222086835,-3.7670206496,-6.8910800186,-1.1404742018,,,
0.1093750000,7,-1.7731660607,-1.6680499837,-1.3432519558,-1.0216132575,6.8681388088,2.4486904776,0.3317414298,-2.5975763589,-10.5289151764,-4.1767679176,-3.8925152416,-3.9669972569,-8.0075797795,-1.4511387710,,,
0.1132812500,7,-0.7659408025,0.3597692273,-0.2330915765,-2.1522573850,0.7577207488,2.4956579812,0.1207854501,-4.0606915718,-20.0855473032,-1.6686136798,-2.3517672026,-2.8396215259,-5.5785685724,-2.3001149879,,,
0.1171875000,7,-0.2878513484,1.2155771227,0.1574248344,-1.6159384085,-8.4695217335,-0.0051514439,-0.5906656965,-4.8991270089,-20.9147714832,1.3543332814,-0.8346178225,-1.0720935931,-1.3319469057,-2.2285894065,,,
0.1210937500,7,0.4220599174,1.2591941449,0.5458424125,-0.0200452062,-14.7625581051,-3.4102026172,-1.5741945924,-2.9241586633,-10.9184227452,3.0579615123,0.7202796876,0.6821168310,2.5901561860,-0.4704843279,,,
0.1250000000,8,1.1539082136,0.8053540411,0.8351758833,0.8468841733,-12.3721399210,-4.4220280393,-1.9797298948,1.2352703121,4.2530815300,2.6867760194,2.4190338550,1.9189508169,5.2132049901,1.8753607451,,,
0.1289062500,8,1.2709972149,-0.0206497510,0.5914869878,0.5164642611,-1.5135512458,-1.1142527897,-1.1294549499,4.9112146860,15.8448027815,0.5573693525,3.3203595713,1.9316935049,5.8645161151,2.7996525909,,,
0.1328125000,8,0.8359573060,-0.7126142911,0.0625816929,-0.2476828222,10.3153489630,4.2667181014,0.4925191333,5.5778365016,18.2295124475,-1.8526414281,2.1794718312,1.0466604789,4.1453038100,1.6980285015,,,
0.1367187500,8,0.0585696434,-0.8629379979,-0.0527574632,-0.4411178976,14.5775887778,6.8325235198,1.8444555275,3.1186255024,12.1813648155,-2.4846501650,-0.3659138970,0.0070943112,0.8971929038,-0.3087140919,,,
0.1406250000,9,-0.1731965019,0.5108099534,1.2830061727,0.0938716217,7.4529352554,4.7164001706,2.7083484741,-0.3365806526,1.2517588296,-1.4425695097,-4.1501676151,-0.7346180659,-2.5283871447,-2.1430502645,,,
