Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4144.8715820313,4145.0000000000,4133.3334960938,4124.4873046875,4157.0512695313,4156.2822265625,4163.5898437500,4172.0512695313,4155.5126953125,4150.3847656250,4144.1025390625,4142.3076171875,4156.5385742188,4120.8974609375,,,
0.0078125000,0,4145.8974609375,4148.5898437500,4129.8715820313,4125.7690429688,4154.7436523438,4155.2563476563,4163.5898437500,4173.3334960938,4148.3334960938,4157.9487304688,4145.5126953125,4139.8715820313,4152.4360351563,4114.3588867188,,,
0.0156250000,0,4149.4873046875,4158.0771484375,4134.8715820313,4128.4614257813,4162.5639648438,4158.4614257813,4165.1284179688,4169.7436523438,4158.9741210938,4173.8461914063,4155.5126953125,4147.9487304688,4155.1284179688,4125.2563476563,,,
0.0234375000,0,4151.4101562500,4153.5898437500,4133.7177734375,4122.6923828125,4162.8203125000,4159.8715820313,4169.2309570313,4170.5126953125,4162.9487304688,4170.8974609375,4147.0512695313,4149.2309570313,4151.4101562500,4121.9228515625,,,
0.0312500000,1,4140.6411132813,4157.5639648438,4134.6152343750,4126.6665039063,4160.3847656250,4159.4873046875,4162.3076171875,4171.0258789063,4159.7436523438,4165.5126953125,4149.6152343750,4145.3847656250,4162.0512695313,4114.8715820313,,,
0.0390625000,1,4139.1025390625,4149.6152343750,4128.7177734375,4121.1538085938,4148.4614257813,4150.0000000000,4169.6152343750,4172.4360351563,4156.6665039063,4162.8203125000,4146.6665039063,4144.6152343750,4159.6152343750,4114.3588867188,,,
0.0468750000,1,4141.7949218750,4153.4614257813,4132.3076171875,4126.9228515625,4157.1796875000,4162.6923828125,4160.8974609375,4169.2309570313,4165.6411132813,4170.7690429688,4147.5639648438,4146.2822265625,4150.2563476563,4115.3847656250,,,
0.0546875000,1,4139.4873046875,4152.9487304688,4131.0258789063,4126.0258789063,4154.4873046875,4159.4873046875,4163.9741210938,4173.5898437500,4158.3334960938,4161.5385742188,4147.4360351563,4143.3334960938,4144.1025390625,4109.1025390625,,,
0.0625000000,2,4133.7177734375,4153.8461914063,4132.8203125000,4127.9487304688,4157.3076171875,4155.5126953125,4161.4101562500,4172.3076171875,4166.9228515625,4167.3076171875,4150.1284179688,4142.4360351563,4154.7436523438,4119.6152343750,,,
0.0703125000,2,4141.7949218750,4155.0000000000,4134.6152343750,4131.4101562500,4160.8974609375,4156.5385742188,4163.7177734375,4174.1025390625,4170.0000000000,4169.1025390625,4139.3588867188,4142.3076171875,4149.1025390625,4119.3588867188,,,
0.0781250000,2,4149.8715820313,4158.9741210938,4138.9741210938,4136.6665039063,4162.0512695313,4165.2563476563,4163.7177734375,4171.5385742188,4168.5898437500,4170.5126953125,4137.4360351563,4144.7436523438,4145.6411132813,4121.6665039063,,,
0.0859375000,2,4152.1796875000,4153.5898437500,4137.4360351563,4133.0771484375,4159.1025390625,4168.9741210938,4167.4360351563,4169.7436523438,4166.2822265625,4168.9741210938,4136.5385742188,4147.1796875000,4150.5126953125,4120.0000000000,,,
0.0937500000,3,4154.4873046875,4161.9228515625,4143.0771484375,4135.6411132813,4165.6411132813,4171.6665039063,4166.6665039063,4172.5639648438,4170.1284179688,4167.3076171875,4146.9228515625,4149.3588867188,4164.6152343750,4118.9741210938,,,
0.1015625000,3,4156.4101562500,4162.5639648438,4143.2050781250,4134.8715820313,4164.1025390625,4168.2050781250,4169.2309570313,4173.2050781250,4177.0512695313,4170.7690429688,4149.6152343750,4151.9228515625,4166.1538085938,4123.8461914063,,,
0.1093750000,3,4158.4614257813,4158.2050781250,4142.4360351563,4135.0000000000,4162.8203125000,4172.0512695313,4168.8461914063,4170.6411132813,4173.7177734375,4174.8715820313,4140.0000000000,4154.1025390625,4155.7690429688,4125.8974609375,,,
0.1171875000,3,4159.2309570313,4167.3076171875,4149.1025390625,4139.3588867188,4169.1025390625,4176.1538085938,4166.6665039063,4171.0258789063,4174.1025390625,4175.8974609375,4144.6152343750,4158.7177734375,4160.8974609375,4127.3076171875,,,
0.1250000000,4,4166.5385742188,4165.1284179688,4154.2309570313,4138.9741210938,4175.3847656250,4178.0771484375,4170.5126953125,4172.8203125000,4186.2822265625,4178.0771484375,4149.4873046875,4159.6152343750,4168.0771484375,4131.0258789063,,,
0.1328125000,4,4168.2050781250,4163.3334960938,4157.6923828125,4142.6923828125,4180.1284179688,4183.9741210938,4164.8715820313,4171.1538085938,4186.2822265625,4180.3847656250,4147.6923828125,4155.8974609375,4165.5126953125,4130.2563476563,,,
0.1406250000,4,4156.4101562500,4156.4101562500,4140.6411132813,4130.6411132813,4162.5639648438,4168.2050781250,4169.7436523438,4170.3847656250,4160.1284179688,4160.6411132813,4133.5898437500,4146.2822265625,4147.0512695313,4118.8461914063,,,
0.1484375000,4,4145.6411132813,4152.4360351563,4128.5898437500,4121.7949218750,4160.8974609375,4166.2822265625,4165.1284179688,4164.8715820313,4163.4614257813,4163.5898437500,4129.3588867188,4142.4360351563,4143.3334960938,4117.8203125000,,,
0.1562500000,5,4158.0771484375,4151.5385742188,4134.7436523438,4122.5639648438,4165.2563476563,4170.1284179688,4168.0771484375,4171.7949218750,4173.0771484375,4171.2822265625,4137.1796875000,4149.4873046875,4156.1538085938,4120.8974609375,,,
0.1640625000,5,4162.6923828125,4157.6923828125,4148.4614257813,4132.0512695313,4166.1538085938,4169.4873046875,4165.8974609375,4171.2822265625,4178.0771484375,4173.5898437500,4151.1538085938,4156.1538085938,4172.1796875000,4136.9228515625,,,
0.1718750000,5,4159.7436523438,4149.3588867188,4144.7436523438,4132.4360351563,4157.1796875000,4158.5898437500,4166.2822265625,4168.4614257813,4162.6923828125,4162.3076171875,4139.1025390625,4151.0258789063,4153.5898437500,4132.0512695313,,,
